benchmark,input,seed,config,evidence_level,simulator,prefetches_issued,useful_prefetches,useless_prefetches,late_prefetches,queue_drops,coverage,accuracy,lateness_rate,log_path,notes
linked_list,small,1,no_prefetch,core_integrated,deterministic_core_integrated_model,0,0,0,0,0,0.000000,NA,NA,research/results/logs/core_integrated/core_integrated_eval.jsonl,NA means no prefetches or no no-prefetch misses for that denominator.
linked_list,small,1,next_line,core_integrated,deterministic_core_integrated_model,32,0,32,0,0,0.000000,0.000000,0.000000,research/results/logs/core_integrated/core_integrated_eval.jsonl,NA means no prefetches or no no-prefetch misses for that denominator.
linked_list,small,1,stride,core_integrated,deterministic_core_integrated_model,4,4,0,0,0,0.250000,1.000000,0.000000,research/results/logs/core_integrated/core_integrated_eval.jsonl,NA means no prefetches or no no-prefetch misses for that denominator.
linked_list,small,1,simple_pointer_chase,core_integrated,deterministic_core_integrated_model,31,31,0,0,0,1.000000,1.000000,0.000000,research/results/logs/core_integrated/core_integrated_eval.jsonl,NA means no prefetches or no no-prefetch misses for that denominator.
linked_list,small,1,copper,core_integrated,deterministic_core_integrated_model,0,0,0,0,0,0.000000,NA,NA,research/results/logs/core_integrated/core_integrated_eval.jsonl,NA means no prefetches or no no-prefetch misses for that denominator.
tree_traversal,small,1,no_prefetch,core_integrated,deterministic_core_integrated_model,0,0,0,0,0,0.000000,NA,NA,research/results/logs/core_integrated/core_integrated_eval.jsonl,NA means no prefetches or no no-prefetch misses for that denominator.
tree_traversal,small,1,next_line,core_integrated,deterministic_core_integrated_model,16,0,16,0,0,0.000000,0.000000,0.000000,research/results/logs/core_integrated/core_integrated_eval.jsonl,NA means no prefetches or no no-prefetch misses for that denominator.
tree_traversal,small,1,stride,core_integrated,deterministic_core_integrated_model,0,0,0,0,0,0.000000,NA,NA,research/results/logs/core_integrated/core_integrated_eval.jsonl,NA means no prefetches or no no-prefetch misses for that denominator.
tree_traversal,small,1,simple_pointer_chase,core_integrated,deterministic_core_integrated_model,15,0,15,15,0,0.000000,0.000000,1.000000,research/results/logs/core_integrated/core_integrated_eval.jsonl,NA means no prefetches or no no-prefetch misses for that denominator.
tree_traversal,small,1,copper,core_integrated,deterministic_core_integrated_model,0,0,0,0,0,0.000000,NA,NA,research/results/logs/core_integrated/core_integrated_eval.jsonl,NA means no prefetches or no no-prefetch misses for that denominator.
