claim,expected_value,observed_value,match,evidence_command,log_path,notes
Final pushed commit,b17d9834ea288c505035d8921781ced3467aeadb,b17d9834ea288c505035d8921781ced3467aeadb,PASS,git rev-parse HEAD; git show b17d9834ea288c505035d8921781ced3467aeadb,research/results/preflight_logs/git_rev_parse_head.txt; research/results/preflight_logs/git_show_b17d9834e.txt,Commit exists locally and is the branch start point.
GitHub Actions open-source reproduction PASS,PASS,pr=success; push=success,PASS,GitHub REST API actions/runs/28305482649 and /28305482024,research/results/preflight_logs/github_pr_run_28305482649.json; research/results/preflight_logs/github_push_run_28305482024.json,gh CLI is unavailable locally; GitHub REST API was used.
Final PR run 28305482649,completed/success at b17d9834e,completed/success at b17d9834ea288c505035d8921781ced3467aeadb,PASS,GitHub REST API actions/runs/28305482649,research/results/preflight_logs/github_pr_run_28305482649.json,
Final push run 28305482024,completed/success at b17d9834e,completed/success at b17d9834ea288c505035d8921781ced3467aeadb,PASS,GitHub REST API actions/runs/28305482024,research/results/preflight_logs/github_push_run_28305482024.json,
Current main branch GitHub Actions state,checked,0 main-branch runs returned,COULD_NOT_VERIFY,GitHub REST API actions/runs?branch=main&per_page=5,research/results/preflight_logs/github_main_runs.json,No main-branch workflow runs were returned by the API; PR/push evidence is on copper-ci-proof.
Model tests PASS,all rows PASS,9 rows; statuses=['PASS'],PASS,Read final CI artifact research/results/model_tests.csv,C:/Users/tyboy/AppData/Local/Temp/copper-ci-final-28305482649/research/results/model_tests.csv,
Adversarial validation PASS failures=0,failures: 0,failures: 0,PASS,C:\Users\tyboy\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe research/copper_validation.py --fuzz-trials 50,research/results/preflight_logs/copper_validation_fuzz50.txt,
Deterministic cycle_model evaluation PASS,cycle_model rows present with PASS statuses,"{""ablation.csv"": 72, ""cycle_memory_traffic.csv"": 630, ""cycle_performance.csv"": 630, ""cycle_prefetch_metrics.csv"": 630, ""sensitivity.csv"": 22, ""statistical_summary.csv"": 636}",PASS,Read final CI artifact cycle_*.csv row counts,research/results/preflight_logs/ci_row_counts.json,
cycle_performance.csv row count,630,630,PASS,Read final CI artifact research/results/cycle_performance.csv,C:/Users/tyboy/AppData/Local/Temp/copper-ci-final-28305482649/research/results/cycle_performance.csv,
cycle_prefetch_metrics.csv row count,630,630,PASS,Read final CI artifact research/results/cycle_prefetch_metrics.csv,C:/Users/tyboy/AppData/Local/Temp/copper-ci-final-28305482649/research/results/cycle_prefetch_metrics.csv,
cycle_memory_traffic.csv row count,630,630,PASS,Read final CI artifact research/results/cycle_memory_traffic.csv,C:/Users/tyboy/AppData/Local/Temp/copper-ci-final-28305482649/research/results/cycle_memory_traffic.csv,
RTL unit simulation PASS in CI,github_actions PASS assertions 15/0,"[{'testbench': 'copper_prefetch_unit_open_tb', 'design': 'copper_prefetch_unit_open', 'tool': 'vvp', 'environment': 'github_actions', 'seed': 'directed', 'status': 'PASS', 'cycles': '', 'assertions_passed': '15', 'assertions_failed': '0', 'log_path': 'research/results/logs/rtl/vvp_copper_prefetch_unit_open_tb.log', 'notes': 'Directed reset, committed provenance update, speculative rejection, request generation, queue full behavior, disabled-COPPER behavior, permission block, no architectural output mutation.'}]",PASS,Read final CI artifact rtl_simulation.csv and VVP log,C:/Users/tyboy/AppData/Local/Temp/copper-ci-final-28305482649/research/results/rtl_simulation.csv; research/results/preflight_logs/ci_vvp_copper_prefetch_unit_open_tb.log,Local iverilog/vvp unavailable; CI artifact confirms RTL unit simulation.
Paper PDF builds in CI,latexmk PASS and research/paper/main.pdf present,"[{'environment': 'github_actions', 'status': 'PASS', 'pdf_path': 'research/paper/main.pdf', 'latex_engine': 'latexmk', 'errors': '3', 'warnings': '2', 'log_path': 'research/paper/main.log', 'notes': 'LaTeX build completed.'}]",PASS,Read final CI artifact paper_build_status.csv and main.pdf presence,C:/Users/tyboy/AppData/Local/Temp/copper-ci-final-28305482649/research/results/paper_build_status.csv; research/results/preflight_logs/ci_main_pdf_presence.txt; research/results/preflight_logs/build_paper_local.txt,"Local latexmk/pdflatex unavailable; local build_paper records BLOCKED, CI row is PASS."
Matched unit-level open-source synthesis PASS,github_actions percent_overhead rows present,9 overhead rows with percentages,PASS,Read final CI artifact synthesis_overhead.csv,C:/Users/tyboy/AppData/Local/Temp/copper-ci-final-28305482649/research/results/synthesis_overhead.csv,Scope is unit-level only.
Artifact package PASS,G18 PASS and copper-artifact.zip present,dashboard=True; zip=True,PASS,Read final CI artifact dashboard and dist/copper-artifact.zip,research/results/preflight_logs/ci_dashboard_extract.txt,
Audits PASS,"claim, number, TODO audits PASS","exit=0,0,0",PASS,python audit_claims.py; audit_numbers.py; audit_todos.py,research/results/preflight_logs/audit_claims.txt; research/results/preflight_logs/audit_numbers.txt; research/results/preflight_logs/audit_todos.txt,
