status,term,file,line,context,evidence_required,evidence_found,disposition
PASS,ASIC signoff,AUDIT_REPORT.md,93,"The paper should keep the power/energy claim narrow. McPAT and Vivado evidence are proxy evidence, and metadata-toggle bounds are pJ/access sensitivity checks, not ASIC signoff.",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,silicon-proven,README.md,11,"This package does not support silicon-proven, ASIC/foundry signoff, measured",fabricated_silicon_manifest.csv PASS tapeout/fab/package/bring-up artifacts,missing research/results/fabricated_silicon_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,README.md,11,"This package does not support silicon-proven, ASIC/foundry signoff, measured",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,production ARM,README.md,12,"silicon power, production ARM/OoO integration, state-of-the-art silicon",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,production ARM,README.md,85,"production ARM/OoO integration, generic Yosys is not mapped timing, and Vivado",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,ASIC signoff,README.md,86,`report_power` is tool-estimated FPGA power rather than silicon or ASIC signoff,asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,README.md,94,"post-route ASIC signoff, silicon, production ARM/OoO, or top-tier",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,production ARM,README.md,94,"post-route ASIC signoff, silicon, production ARM/OoO, or top-tier",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,silicon-proven,REPRODUCIBILITY_STATUS.md,11,"It does not support silicon-proven status, ASIC/foundry signoff, measured",fabricated_silicon_manifest.csv PASS tapeout/fab/package/bring-up artifacts,missing research/results/fabricated_silicon_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,REPRODUCIBILITY_STATUS.md,11,"It does not support silicon-proven status, ASIC/foundry signoff, measured",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
